CODGEO,LIBGEO,code_dept,nom_departement,code_reg,nom_region,Age,Nb_H,Nb_F
31555,Toulouse,31,Haute-Garonne,76,Occitanie,0,2980,2735
34172,Montpellier,34,Hérault,76,Occitanie,0,1664,1598
30189,Nîmes,30,Gard,76,Occitanie,0,878,778
66136,Perpignan,66,Pyrénées-Orientales,76,Occitanie,0,691,645
34032,Béziers,34,Hérault,76,Occitanie,0,456,494
82121,Montauban,82,Tarn-et-Garonne,76,Occitanie,0,301,255
11262,Narbonne,11,Aude,76,Occitanie,0,265,241
81004,Albi,81,Tarn,76,Occitanie,0,216,165
11069,Carcassonne,11,Aude,76,Occitanie,0,241,175
34301,Sète,34,Hérault,76,Occitanie,0,175,165
65440,Tarbes,65,Hautes-Pyrénées,76,Occitanie,0,177,186
30007,Alès,30,Gard,76,Occitanie,0,183,225
81065,Castres,81,Tarn,76,Occitanie,0,193,193
31149,Colomiers,31,Haute-Garonne,76,Occitanie,0,267,156
31557,Tournefeuille,31,Haute-Garonne,76,Occitanie,0,144,123
34003,Agde,34,Hérault,76,Occitanie,0,76,110
31069,Blagnac,31,Haute-Garonne,76,Occitanie,0,170,101
34145,Lunel,34,Hérault,76,Occitanie,0,167,151
31395,Muret,31,Haute-Garonne,76,Occitanie,0,109,113
34057,Castelnau-le-Lez,34,Hérault,76,Occitanie,0,157,160
12202,Rodez,12,Aveyron,76,Occitanie,0,100,40
34108,Frontignan,34,Hérault,76,Occitanie,0,77,120
32013,Auch,32,Gers,76,Occitanie,0,101,80
12145,Millau,12,Aveyron,76,Occitanie,0,76,84
31157,Cugnaux,31,Haute-Garonne,76,Occitanie,0,130,142
31555,Toulouse,31,Haute-Garonne,76,Occitanie,1,2730,2672
34172,Montpellier,34,Hérault,76,Occitanie,1,1639,1597
30189,Nîmes,30,Gard,76,Occitanie,1,867,756
66136,Perpignan,66,Pyrénées-Orientales,76,Occitanie,1,687,645
34032,Béziers,34,Hérault,76,Occitanie,1,471,494
82121,Montauban,82,Tarn-et-Garonne,76,Occitanie,1,356,224
11262,Narbonne,11,Aude,76,Occitanie,1,255,271
81004,Albi,81,Tarn,76,Occitanie,1,194,222
11069,Carcassonne,11,Aude,76,Occitanie,1,220,185
34301,Sète,34,Hérault,76,Occitanie,1,195,168
